breed,url,a_adaptability,a1_adapts_well_to_apartment_living,a2_good_for_novice_owners,a3_sensitivity_level,a4_tolerates_being_alone,a5_tolerates_cold_weather,a6_tolerates_hot_weather,b_all_around_friendliness,b1_affectionate_with_family,b2_incredibly_kid_friendly_dogs,b3_dog_friendly,b4_friendly_toward_strangers,c_health_grooming,c1_amount_of_shedding,c2_drooling_potential,c3_easy_to_groom,c4_general_health,c5_potential_for_weight_gain,c6_size,d_trainability,d1_easy_to_train,d2_intelligence,d3_potential_for_mouthiness,d4_prey_drive,d5_tendency_to_bark_or_howl,d6_wanderlust_potential,e_exercise_needs,e1_energy_level,e2_intensity,e3_exercise_needs,e4_potential_for_playfulness,breed_group,height,weight,life_span,extracted_paragraph,extracted_image_url
Golden Retriever Corgi,https://dogtime.com/dog-breeds/golden-retriever-corgi,3,3,4,3,3,3,3,5,5,5,4,4,3,4,3,3,3,4,3,3,4,4,3,2,3,2,4,4,3,3,5,Mixed Breed Dogs,10 to 18 inches,30 to 75 pounds,10 to 13 years,"The Golden Retriever Corgi is a mixed breed dog — a cross between the Corgi and Golden Retriever dog breeds. Loyal, silly, and active, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2020/01/golden-retriever-corgi-mixed-dog-breed-pictures-cover.jpg?w=760
Golden Shepherd,https://dogtime.com/dog-breeds/golden-shepherd,3,2,2,5,1,5,4,5,5,5,3,5,3,5,2,2,3,3,5,4,5,5,5,3,3,2,5,5,3,5,5,Mixed Breed Dogs,20 to 26 inches,55 to 85 pounds ,10 to 14 years,"The Golden Shepherd is a mixed breed dog–a cross between the Golden Retriever and German Shepherd dog breeds. This hybrid dog combines the intelligence, loyalty, and versatility of both parent breeds. As a result, these dogs make excellent companions for families and individuals alike. With a striking appearance characterized by a medium to large size and a dense, water-resistant coat in shades of gold and black, the Golden Shepherd possesses a captivating presence. Their expressive eyes reflect their intelligence and gentle nature, contributing to their overall charm.",https://dogtime.com/wp-content/uploads/sites/12/2024/01/Screen-Shot-2024-01-18-at-1.14.53-PM.png?w=1024
Goldendoodle,https://dogtime.com/dog-breeds/goldendoodle,3,1,4,4,3,3,3,5,5,5,5,4,3,2,1,4,3,3,4,3,4,5,1,1,3,3,4,4,3,5,5,Hybrid Dogs,"1 foot, 8 inches to 2 feet tall at the shoulder",50 to 90 pounds,10 to 15 years,"The Goldendoodle is a popular hybrid dog breed resulting from crossing a Poodle with a Golden Retriever. Like all other designer breeds, this Doodle is not truly a breed of their own but is a crossbreed. Because of their mixed heritage, these charming pups truly embody the best of both worlds. Friendly and sociable, Goldendoodles make excellent family companions. Additionally, their high intelligence and earnest temperament make training Goldendooodle puppies fairly easy. ",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-142805141-e1689614063230.jpg?w=1024
Gollie,https://dogtime.com/dog-breeds/gollie,3,1,4,3,2,3,3,5,5,5,4,4,3,4,2,3,3,4,3,3,4,4,2,2,2,4,4,5,3,4,5,Mixed Breed Dogs,22 to 26 inches,50 to 75 pounds,12 to 15 years,"The Gollie is a mixed breed dog — a cross between the Golden Retriever and Collie dog breeds. Loving, clever, and energetic, these pups inherited some of their parents’ best qualities. Gollies are also sometimes known as Golden Collies. You can find these mixed-breed dogs in shelters and breed-specific rescues, so remember to always adopt! Don’t shop if you want to add one of these wonderful dogs to your home!",https://dogtime.com/wp-content/uploads/sites/12/2019/09/gollie-mixed-dog-breed-pictures-1-1.jpg?w=760
Gordon Setter,https://dogtime.com/dog-breeds/gordon-setter,3,2,3,4,1,4,3,3,5,3,2,3,3,5,3,2,4,3,3,4,5,5,3,4,5,4,4,5,2,5,5,Sporting Dogs,"1 foot, 11 inches to 2 feet, 3 inches tall at the shoulder",45 to 80 pounds,10 to 12 years,"The Gordon Setter is a large sporting dog breed from Scotland originally bred to hunt pheasants and quail. Today, they are still fine hunting companions and field trial competitors, although many have made their way into homes as pets worldwide. These “black and tans” have an alert, confident, and curious temperament and are loyal and affectionate with their people. However, they can be aloof with strangers. Early socialization is essential.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1297799155-e1694182101120.jpg?w=1024
Great Dane,https://dogtime.com/dog-breeds/great-dane,2,1,1,5,1,2,3,5,5,5,5,5,4,5,4,5,4,2,5,3,5,3,2,3,4,3,5,5,5,5,5,Working Dogs,26 to 34 inches tall at the shoulder,100 to 200 pounds,7 to 10 years,"The Great Dane is an extra-large working dog breed that originated in Germany. Known for their impressive size and friendly demeanor, they are often referred to as a “gentle giant.” Standing as one of the tallest dog breeds, Great Danes have a commanding presence with a strong, muscular build and a sleek, well-proportioned body. Despite their imposing stature, they are known for their gentle and affectionate nature, making them good family dogs.",https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-1372212075-e1705674944967.jpg?w=1024
Great Pyrenees,https://dogtime.com/dog-breeds/great-pyrenees,3,1,1,4,3,5,3,4,5,4,4,3,4,5,2,4,2,4,5,4,1,4,2,5,5,5,5,5,5,5,4,Working Dogs,"2 feet, 1 inch to 2 feet, 8 inches tall at the shoulder",85 to 160 pounds,10 to 12 years,"The Great Pyrenees is a large working dog originally bred to protect flocks and herds in the Pyrenees Mountains of France and Spain. This gentle, strong guardian breed will protect livestock, people, children, grass, other pets, lawn furniture, or anything else from real or imaginary predators. While reserved with strangers, Pyrs fiercely guard their families, particularly children, making them good house dogs. Known for their laid-back, easygoing, and independent nature, these protective pups also bark a lot to keep their loved ones safe.",https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-1392624178-e1699369134229.jpg?w=1024
Greater Swiss Mountain Dog,https://dogtime.com/dog-breeds/greater-swiss-mountain-dog,3,1,2,4,3,5,1,5,5,5,5,3,3,3,1,5,2,4,5,3,3,3,3,4,4,3,4,5,4,3,5,Working Dogs,23 to 28 inches tall at the shoulder,85 to 140 pounds,7 to 9 years,"The Greater Swiss Mountain Dog, often referred to simply as the Swissy, is a majestic and robust breed known for its strength, loyalty, and gentle nature. Originating in the Swiss Alps, this breed has a rich history of serving as a working dog, primarily used for herding cattle and guarding farms. It is one of the four Swiss Mountain Dog breeds, along with the Bernese Mountain Dog, the Appenzeller Sennehund, and the Entlebucher. Among them, the Swissy is the largest. ",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-481853236-e1696252573739.jpg?w=1024
Greyador,https://dogtime.com/dog-breeds/greyador,3,3,2,5,1,1,3,5,5,5,5,5,5,5,4,5,4,5,4,4,3,5,5,4,4,4,4,4,4,4,4,Mixed Breed Dogs,21 to 27 inches,50 to 80 pounds ,11 to 13 years,"The Greyador is a mixed breed dog–a cross between the Labrador and Greyhound dog breeds. These pups fall into the medium-to-large size range. Gentle yet strong, Greyadors inherited some of the best traits from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2020/02/greyador-mixed-dog-breed-pictures-COVER.jpg?w=760
Greyhound,https://dogtime.com/dog-breeds/greyhound,3,4,2,5,1,1,5,5,5,5,4,5,5,4,5,5,4,5,4,4,5,5,4,5,2,5,4,5,3,5,4,Hound Dogs,"2 feet, 1 inch to 2 feet, 6 inches tall at the shoulder",50 to 85 pounds,12 to 15 years,"The Greyhound is the fastest dog breed in the world, with a sleek, aerodynamic body and long, powerful legs that allow it to reach speeds of up to 45 mph. They were originally bred to hunt small game, and their speed and agility made them excellent at catching rabbits, foxes, and other prey. Not surprisingly, Greyhounds made a name for themselves as racing dogs. Greyhounds are the second fastest animals on Earth, after the cheetah.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1307444886-e1689603365467.jpg?w=1024
Hamiltonstovare,https://dogtime.com/dog-breeds/hamiltonstovare,3,3,2,4,3,3,3,4,5,4,3,3,3,1,1,4,4,3,3,3,3,4,2,5,3,2,4,5,3,4,4,Hound Dogs,19 to 24 inches,40 to 75 pounds,14 to 17 years,"The Hamiltonstovare, originating from Sweden, is a versatile and athletic hound breed with a rich history rooted in hunting. Known for their striking tricolor coat, the Hamiltonstovare are medium-sized, muscular, and possess a keen sense of smell, making them exceptional scent hounds. Their breed was developed for fox hunting and is recognized for their endurance, agility, and determination in tracking and treeing game. Beyond their hunting prowess, the Hamiltonstovare are characterized by their friendly and social nature, making them amiable companions in family settings. Their well-balanced temperament, intelligence, and trainability further contribute to their adaptability as both skilled working dogs and loyal household members.",https://dogtime.com/wp-content/uploads/sites/12/2019/12/Hamiltonstovare-dog-breed-pictures-cover.jpg?w=760
Hanoverian Scenthound,https://dogtime.com/dog-breeds/hanoverian-scenthound,3,2,1,4,3,3,3,4,5,5,4,3,3,2,1,4,4,3,4,3,2,4,2,4,3,2,4,4,3,4,4,Working Dogs,19 to 22 inches,80 to 100 pounds,12 to 14 years,"The Hanoverian Scenthound is a dog breed originating from Germany. They are loyal, independent, and calm pups who have some of the best qualities of most dog breeds around today. The Hanoverian Scenthound goes by several other names, including Hanoverian Hound, Hanoverian Scent Dog, and Hannoverscher Schweisshund. Despite their status as a rare dog breed, you can still try to find these beautiful pups in shelters or breed specific rescues, so remember to adopt! Don’t shop!",https://dogtime.com/wp-content/uploads/sites/12/2019/11/Hanoverian-Scenthound-dog-breed-pictures-cover.jpg?w=760
Harrier,https://dogtime.com/dog-breeds/harrier,3,1,3,2,3,3,4,5,4,5,5,5,3,3,1,5,5,3,3,4,2,4,3,4,4,5,5,5,4,5,5,Hound Dogs,"1 foot, 7 inches to 1 foot, 9 inches tall at the shoulder",45 to 60 pounds,10 to 12 years,"The Harrier dog breed is a dynamic medium-sized scenthound known for their sleek physique and enthusiastic personality. With a history dating back several centuries, the Harrier is believed to have originated in medieval England, where they were developed to hunt hare and fox in packs. With a sturdy build, expressive eyes, and colored coat, the Harrier has a striking and handsome presence. Renowned for their keen sense of smell and exceptional stamina, the breed excels in scent-tracking activities.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-478594617-e1708826665721.jpg?w=1024
Havanese,https://dogtime.com/dog-breeds/havanese,4,5,5,4,1,3,4,5,5,4,5,5,2,2,1,1,3,4,2,3,5,4,3,4,2,2,3,3,2,3,5,Companion Dogs,8 inches to 11 inches tall at the shoulder,7 to 13 pounds,12 to 15 years,"The Havanese is a small toy dog breed from Cuba with a rounded face, floppy ears, and either curly or straight long hair. They have friendly, affectionate, and playful personalities. These dogs are very intelligent, easy to train, and have a low prey drive.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1188952756-e1693150813872.jpg?w=1024
Hokkaido,https://dogtime.com/dog-breeds/hokkaido,3,3,2,2,3,5,2,4,4,4,3,3,3,4,2,1,5,3,3,3,3,4,3,4,3,3,3,3,2,3,3,Working Dogs,18 to 22 Inches,45 to 65 Pounds,11 to 13 Years,"The Hokkaido, an intelligent and alert purebred dog from Japan, is a devoted companion. Hokkaido dogs are also known by the names Ainu-ken, Seta, and Ainu dog. In Japan, their name is often shortened to Do-ken. Though rare outside of Japan, Hokkaido dogs can still be found in shelters and rescues. ",https://dogtime.com/wp-content/uploads/sites/12/2023/10/Screen-Shot-2023-10-06-at-10.25.31-AM-1-e1696602900421.png?w=1024
Horgi,https://dogtime.com/dog-breeds/horgi,3,2,2,4,2,4,3,5,5,5,4,5,3,4,2,3,3,3,2,4,4,4,4,4,3,3,4,4,3,4,4,Mixed Breed Dogs,12 to 15 inches ,20 to 50 pounds,12 to 15 years ,"The Husky Corgi mix, often referred to as a “Horgi,” is a delightful crossbreed that combines the distinct characteristics of the a cross between the Siberian Husky and Pembroke Welsh Corgi dog breeds. This hybrid typically inherits the striking appearance of the Husky, featuring a dense double coat. Their appearance is not defined and their coat may come various color patterns. The Corgi influence is evident in their sturdy build and short legs. As a result, this charming mixed breed brings together the intelligence and independence of the Husky with the affectionate and loyal nature of the Corgi.",https://dogtime.com/wp-content/uploads/sites/12/2019/08/horgi-mixed-dog-breed-pictures-cover.jpg?w=760
Huskita,https://dogtime.com/dog-breeds/huskita,3,2,1,4,1,5,3,3,5,2,2,3,3,4,3,1,4,3,4,4,2,3,3,4,5,5,5,4,4,5,5,Mixed Breed Dogs,22 to 25 inches ,50 to 75 pounds ,10 to 13 years,"Akita Huskies, fondly called the Huskita, is a truly special crossbreed. These energetic dogs merge the Siberian Husky‘s playfulness with the Akita‘s noble demeanor, creating a truly dynamic dog breed. Additionally, the Husky’s endurance complements the Akita’s strength and loyalty. Because both breeds originated for different purposes, one for working and one for guarding, this dog breed is a formidable yet affectionate companion. Each Huskita possesses a unique personality that reflects the influence of both parent breeds. ",https://dogtime.com/wp-content/uploads/sites/12/2019/12/Huskita-Collage-e1710445440763.jpg?w=1024
Huskydoodle,https://dogtime.com/dog-breeds/huskydoodle,3,2,2,3,2,4,3,4,4,4,4,3,3,3,2,3,4,4,3,3,3,5,3,4,2,2,5,5,4,5,4,Mixed Breed Dogs,12 to 25 inches,40 to 60 pounds,10 to 14 years,"The Huskydoodle is a unique crossbreed who combines the intelligence and striking appearance of the Siberian Husky with the playful and affectionate nature of the Poodle. This hybrid breed goes by a number of names, including the Husky Poodle, Siberpoo, Poosky, Siberian Poodle, and Huskypoo. This beloved breed inherits the Husky’s distinctive coat markings and the Poodle’s hypoallergenic qualities. To that end, these dogs can be an appealing choice for individuals with allergen sensitivities. Known for their social and outgoing demeanor, the Husky Poodle mix thrives on companionship and makes an excellent family pet. Their intelligence and agility additionally make them well-suited for various activities, including obedience training and agility courses. However, potential owners should be prepared for their energetic nature and commit to providing regular exercise and mental stimulation.",https://dogtime.com/wp-content/uploads/sites/12/2024/01/GettyImages-980012224.jpg?w=1024
Ibizan Hound,https://dogtime.com/dog-breeds/ibizan-hound,3,5,3,4,2,1,4,5,5,5,5,4,3,3,1,5,4,1,3,4,3,4,3,5,2,5,5,5,3,5,5,Hound Dogs,"1 foot, 10 inches to 2 feet, 3 inches tall at the shoulder",45 to 50 pounds,10 to 14 years,"The Ibizan Hound is a sighthound that was originally bred to hunt rabbits and small game on the Balearic island of Ibiza. Today, Ibizan Hounds are still used for this purpose in Spain and other countries. They also compete in lure coursing, agility, obedience, conformation, and tracking. In addition, they are beloved family companions.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-524728700-e1694569218246.jpg?w=1024
Icelandic Sheepdog,https://dogtime.com/dog-breeds/icelandic-sheepdog,3,1,1,3,2,5,3,3,4,4,2,2,3,5,1,1,3,3,3,3,3,4,3,4,1,4,4,4,5,4,4,Herding Dogs,"1 foot, 4 inches to 1 foot, 6 inches tall at the shoulder",20 to 30 pounds,14 to 15 years,"The Icelandic Sheepdog, also known as the Icelandic Spitz or Íslenskur fjárhundur in Icelandic, is a breed of dog originating from Iceland. They are one of the oldest and only native dog breeds of Iceland. The Icelandic Sheepdog, believed to be companions to the ancient Vikings, actively protected flocks from birds of prey.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1249910553-2.jpg?w=1024
Irish Red and White Setter,https://dogtime.com/dog-breeds/irish-red-and-white-setter,3,1,3,4,1,4,3,4,5,4,4,4,2,3,1,3,2,2,3,4,4,4,4,3,3,4,5,5,5,5,5,Sporting Dogs,"1 foot, 10 inches to 2 feet, 2 inches tall at the shoulder",50 to 70 pounds,10 to 14 years,"The Irish Red and White Setter is a beloved medium-to-large breed known for its elegant aesthetic and calm companionship, making it a popular choice among families and sporting enthusiasts. Breed enthusiasts cherish these bird dogs for their beauty, friendly nature, and strong work ethic. They adapt well to living with children and other pets, although their natural prey drive requires some caution around small animals.",https://dogtime.com/wp-content/uploads/sites/12/2023/07/Screen-Shot-2023-07-11-at-10.56.38-AM-e1692452682474.png?w=1024
Irish Setter,https://dogtime.com/dog-breeds/irish-setter,3,1,3,4,2,4,3,5,5,5,5,5,3,4,2,3,2,3,4,5,4,5,5,5,4,5,5,5,3,5,5,Sporting Dogs,"2 feet, 1 inch to 2 feet, 3 inches tall at the shoulder",60 to 70 pounds,11 to 15 years,"The Irish Setter, with its vibrant red coat and charismatic personality, is a beloved and iconic breed known for its beauty and friendly nature. This iconic breed was first developed in Ireland as a versatile hunting dog. Boasting an elegant and athletic build, the Irish Setter can immediately be recognized by its striking mahogany or chestnut-colored coat. Their long, silky fur and feathering give them a regal appearance, making them stand out in any setting. With an affectionate and outgoing temperament, Irish Setters are often described as “redheads with a heart of gold.” They also form strong bonds with their families and are known for their playfulness and enthusiasm.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-986376406-e1692813099422.jpg?w=1024
Irish Terrier,https://dogtime.com/dog-breeds/irish-terrier,3,3,2,3,2,4,4,4,5,5,1,3,3,4,1,2,5,3,3,3,1,4,1,2,4,3,5,5,4,4,5,Terrier Dogs,"1 foot, 6 inches to 1 foot, 8 inches tall at the shoulder",25 to 27 pounds,12 to 16 years,"The Irish Terrier dog breed was once described as the “poor man’s sentinel, the farmer’s friend, and the gentleman’s favorite.” Rugged and stouthearted, these Irish dogs have the advantages of a convenient size and versatile abilities as a companion, and watchdog.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1075596616-e1694717947452.jpg?w=1024
Irish Water Spaniel,https://dogtime.com/dog-breeds/irish-water-spaniel,3,3,2,4,3,4,4,5,5,5,4,5,2,1,2,3,2,3,3,4,5,4,3,5,4,3,4,5,3,5,4,Sporting Dogs,"1 foot, 9 inches to 2 feet tall at the shoulder",45 to 65 pounds,10 to 12 years,"Originating in Ireland, the Irish Water Spaniel features a dense, curly, water-resistant coat that sets it apart from other spaniels. With a sharp and playful personality, Irish Water Spaniels are highly intelligent and excel in various tasks, including hunting waterfowl and retrieving objects from the water. These active dogs are known for their natural swimming abilities and webbed feet, making them well-suited for water-related activities. They are loyal and affectionate companions, often forming strong bonds with their families, and their active and lively nature makes them well-suited for families and individuals who enjoy outdoor adventures and activities.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/14770260620_a14323c80b_h-e1696226376292.jpg?w=1024
Irish Wolfhound,https://dogtime.com/dog-breeds/irish-wolfhound,2,1,2,3,2,4,2,5,5,5,5,5,3,3,1,3,1,3,5,3,3,4,3,5,1,3,3,2,2,4,4,Hound Dogs,"2 feet, 8 inches to 2 feet, 11 inches tall at the shoulder",115 to 180 pounds,6 to 8 years,"The Irish Wolfhound dog breed was originally used in war to drag men off horses and chariots. They also hunted large game such as deer, boar, and wolves. Today this adaptable dog is a family companion who also competes in obedience, tracking, and lure coursing.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-802294198-e1694543128527.jpg?w=1024
Italian Greyhound,https://dogtime.com/dog-breeds/italian-greyhound,3,5,5,5,1,1,3,5,5,5,4,4,3,2,1,5,3,2,2,4,3,3,4,5,3,3,4,4,2,4,4,Companion Dogs,"1 foot, 1 inch to 1 foot, 3 inches tall at the shoulder",6 to 15 pounds,14 to 15 years,"The Italian Greyhound was favored by noblewomen in Italy during the Middle Ages. But beyond being aristocratic companions, these small sighthounds had the speed, endurance, and determination to hunt small game. Today, they are family dogs admired for their beauty and athleticism.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1173875200-e1692375001305.jpg?w=1024
Jack-A-Poo,https://dogtime.com/dog-breeds/jack-a-poo,4,4,4,4,2,4,4,5,5,5,5,4,2,2,1,2,3,4,2,4,4,5,4,4,3,4,5,5,4,5,5,Mixed Breed Dogs,10 to 16 inches,13 to 25 pounds,12 to 15 years,"The Jack-A-Poo is mixed breed dog–a cross between the Jack Russell Terrier and Poodle dog breeds. Generally the Poodle parent is Miniature or Toy sized, as opposed to Standard. Affectionate, lively, and intelligent, Jack-A-Poos are energetic pups who make great family dogs.",https://dogtime.com/wp-content/uploads/sites/12/2020/02/jack-a-poo-mixed-dog-breed-pictures-cover.jpg?w=760
Jack Chi,https://dogtime.com/dog-breeds/jack-chi,3,4,2,3,3,2,4,4,4,5,4,3,3,2,2,5,4,4,2,3,2,4,2,4,2,4,4,4,4,4,5,Mixed Breed Dogs,12 to 15 inches,8 to 18 pounds,13 to 18 years,"The Jack Chi is a mixed breed dog — a cross between the Jack Russell Terrier and Chihuahua dog breeds. Friendly, playful, and energetic, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/jack-chi-mixed-dog-breed-pictures-cover.jpg?w=760
Jack Russell Terrier,https://dogtime.com/dog-breeds/jack-russell-terrier,3,3,2,3,3,4,3,5,5,4,5,4,3,3,1,3,4,4,2,4,4,5,4,5,4,4,5,5,5,5,5,Terrier Dogs,"10 inches to 1 foot, 3 inches tall at the shoulder",13 to 17 pounds,10 to 15 years,"The Jack Russell Terrier, distinct from both the Russell Terrier and the Parson Russell Terrier, is a lively and independent terrier breed developed around 200 years ago to hunt foxes in south England. While they are charming and affectionate, they’re also a handful to train and manage and may be best suited for experienced dog parents.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1165035381-e1691077727532.jpg?w=1024
Japanese Chin,https://dogtime.com/dog-breeds/japanese-chin,3,5,4,3,1,3,2,3,3,3,3,4,2,3,1,3,3,3,1,3,3,3,4,3,3,1,2,2,1,2,4,Companion Dogs,8 inches to 11 inches tall at the shoulder,4 to 9 pounds,10 to 14 years,"The Japanese Chin dog breed hails from Asia, where they’ve been prized as a companion for more than a thousand years. They were a popular member of Chinese and Japanese imperial courts, and it was in Japan that their distinctive look was developed.",https://dogtime.com/wp-content/uploads/sites/12/2023/11/GettyImages-987920506-e1700238374981.jpg?w=1024
Japanese Spitz,https://dogtime.com/dog-breeds/japanese-spitz,3,4,4,3,2,4,3,4,4,5,4,2,3,3,1,4,3,2,2,3,4,4,2,2,4,2,3,3,2,3,4,Companion Dogs,10 to 16 inches,11 to 20 pounds,10 to 16 years,"The Japanese Spitz is a small family companion with the heart of a large watchdog. This courageous dog breed may look similar to American Eskimo Dogs, white Pomeranians, or small Samoyeds, but Japanese Spitzes have their own lineages. Although not native to Japan like the Shiba Inu or Akita, these white fluffy dogs were developed on the island nation. Japanese Spitz dogs are also intelligent, easy to train, low-maintenance, and great with children. They make good apartment dogs, so long as pet parents meet their exercise needs. While their gorgeous, white fur may seem difficult to maintain, these charming pups have fairly low grooming needs.",https://dogtime.com/wp-content/uploads/sites/12/2023/10/GettyImages-1489388446-e1698507707274.jpg?w=1024
Korean Jindo Dog,https://dogtime.com/dog-breeds/jindo,3,3,2,3,2,5,2,4,5,3,3,4,3,5,1,1,4,2,3,3,2,5,2,5,5,5,4,4,4,5,4,Sporting Dogs,19½ to 21 inches for males and 18½ to 20 inches for females,35 - 60 pounds,12 - 15 years,"The Korean Jindo Dog is a fiercely loyal companion with unmatched devotion to their owners. Indeed originating in South Korea, these intelligent dogs have a natural knack for hunting, tricks, and agility. Although, the Jindo Dog is fastidious and quiet indoors, making them great household pets. In fact, these special dogs are illegal to export from Korea without a permit. ",https://dogtime.com/wp-content/uploads/sites/12/2018/10/GettyImages-154265953-e1695054866660.jpg?w=1024
Karelian Bear Dog,https://dogtime.com/dog-breeds/karelian-bear-dog,3,2,1,4,2,5,3,3,4,3,1,2,3,3,1,4,4,2,3,4,2,4,4,5,4,5,4,4,5,4,4,Working Dogs,19 to 24 inches,44 to 50 pounds,10 to 13 years,"The Karelian Bear Dog, also known as Karjalankarhukoira, hails from Finland. It is a robust and vigilant breed renowned for its fearlessness. They possess the remarkable ability to hunt and even tree various game, including bears, lynxes, wild boars, wolves, and moose. In Finland, the Karelian Bear Dog holds a special place as one of the ten most popular dog breeds. To integrate them successfully into a household, extensive socialization and training are essential. Additionally, this breed has high energy levels and requires ample exercise and mental stimulation.",https://dogtime.com/wp-content/uploads/sites/12/2023/08/Screen-Shot-2023-08-19-at-10.09.56-AM-e1692454226742.png?w=1024
Keeshond,https://dogtime.com/dog-breeds/keeshond,4,4,4,5,1,5,3,5,5,5,4,4,3,5,1,3,3,4,3,3,4,4,3,3,4,2,4,4,3,3,5,Companion Dogs,"1 foot, 4 inches to 1 foot, 7 inches tall at the shoulder",35 to 45 pounds,12 to 15 years,"The Keeshond is an old dog breed, once a companion and watchdog on the barges and boats that traveled the canals and rivers of Holland in the 17th and 18th centuries. He’s almost exclusively a companion dog today.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-954286436-e1695823345532.jpg?w=1024
Kerry Blue Terrier,https://dogtime.com/dog-breeds/kerry-blue-terrier,3,3,2,3,3,4,3,4,4,4,2,5,2,1,1,2,3,3,3,4,4,4,4,3,4,3,4,4,4,5,4,Terrier Dogs,"1 foot, 5 inches to 1 foot, 7 inches tall at the shoulder",33 to 40 pounds,12 to 15 years,"The Kerry Blue Terrier is the quintessential working dog. They hail from County Kerry, Ireland, where they were bred to hunt small game and birds, kill rodents, and herd sheep and cattle. Intelligent and brave, they became a cherished pet as well, displaying fierce devotion to their family or pack.",https://dogtime.com/wp-content/uploads/sites/12/2011/01/GettyImages-1297190480-e1709252365876.jpg?w=1024
Komondor,https://dogtime.com/dog-breeds/komondor,3,2,1,4,1,4,3,3,5,3,1,1,3,3,2,2,2,3,4,4,4,4,3,2,5,4,3,2,1,4,4,Working Dogs,25 to 27 inches tall at the shoulder,80 to 100 pounds,10 to 12 years,"The Komondor has a long history as a livestock guardian breed from Hungary. Also known as the Hungarian Sheepdog, Komondors possess strong protective instincts, a trait once valued primarily for working purposes but now beloved as part of this unique breed’s temperament. Komondors may be most easily recognizable by their long, corded white coats, which have given them the informal name of the “mop dog.” This mop-like appearance served a valuable purpose and would help them blend in with herds of sheep and allow them to jump out and surprise predators. ",https://dogtime.com/wp-content/uploads/sites/12/2023/07/GettyImages-1250679406-e1692462057758.jpg?w=1024
Kooikerhondje,https://dogtime.com/dog-breeds/kooikerhondje,3,4,3,4,2,4,3,2,3,2,2,2,3,3,1,2,5,3,3,3,1,4,3,3,3,3,5,4,5,5,4,Sporting Dogs,"1 foot, 2 inches to 1 foot, 4 inches tall at the shoulder",20 to 25 pounds,12 to 14 years,"The Kooikerhondje is a small spaniel-type hunting breed from the Netherlands. Suspected to be an ancestor of the Nova Scotia Duck Tolling Retriever, this lively breed hails from Holland and was used to lure ducks into traps for hunting or tagging. They still serve as hunting dogs but excel at other dog sports like flyball. They’ve also made their way into homes as beloved companion animals. The Nederlandse Kooikerhondje personality is lively, self-confident, intelligent, and easygoing. They are highly trainable and are very compatible with children.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/Screen-Shot-2023-09-26-at-2.08.42-PM-e1695751772791.png?w=1024
Kuvasz,https://dogtime.com/dog-breeds/kuvasz,3,1,1,5,1,5,2,2,5,1,2,1,4,4,3,4,4,4,5,2,2,4,1,1,3,3,4,4,4,5,4,Working Dogs,26 to 30 inches tall at the shoulder,70 to 115 pounds,10 to 12 years,"The Kuvasz is a large, white, flock-guarding dog from Hungary. They are protective of their people and suspicious of strangers. These dogs think for themselves and can be challenging to train. In Hungarian, the plural of Kuvasz is Kuvaszok.",https://dogtime.com/wp-content/uploads/sites/12/2023/09/GettyImages-1448544277-e1694629203459.jpg?w=1024
Kyi-Leo,https://dogtime.com/dog-breeds/kyi-leo,4,5,4,3,4,5,2,4,5,5,4,3,2,2,1,2,3,3,2,3,3,3,4,1,4,2,3,4,3,2,4,Mixed Breed Dogs,8 to 12 inches,8 to 14 pounds,13 to 15 years,"The Kyi-Leo is a mixed breed dog — a cross between the Maltese and Lhasa Apso dog breeds. Playful, lively, and sweet, these pups inherited some of the best qualities from both of their parents.",https://dogtime.com/wp-content/uploads/sites/12/2019/07/kyi-leo-mixed-dog-breed-pictures-cover.jpg?w=760
